display_name,team_ID
Hartford,65
Neumann,206
Gwynedd-Mercy,208
Marywood,210
Immaculata,211
Marymount,212
Salisbury,213
"Southern Virginia",214
"Christopher Newport",215
"Saint Mary's (MD)",216
York,217
"Mary Washington",218
"Salve Regina",219
"University of New England",220
Wentworth,221
"Western New England",222
"Roger Williams",223
Endicott,224
Gordon,225
Nichols,226
Curry,227
Carthage,228
"Illinois Wesleyan",229
"North Central (IL)",230
Dubuque,231
Elmhurst,232
Carroll,233
Augustana,234
Ursinus,235
Gettysburg,236
Muhlenberg,237
Swarthmore,238
"Franklin & Marshall",239
Dickinson,240
McDaniel,241
Haverford,242
Washington,243
Stockton,244
"Montclair State",245
Kean,246
Rosemont,247
"Bryn Athyn",249
"Centenary (NJ)",250
"La Roche",252
"St. Joseph (CT)",253
"SUNY New Paltz",254
LaGrange,255
Northland,259
Nazareth,260
"Saint John Fisher",262
Alfred,263
Sage,265
Utica,266
Hartwick,267
"Saint Joseph's (ME)",268
"Anna Maria",269
Norwich,270
Rivier,271
Regis,272
"Albertus Magnus",273
Lasell,274
"Emmanuel (MA)",275
"Johnson & Wales (RI)",276
Transylvania,277
Hanover,278
Anderson,279
Earlham,281
Goucher,282
Catholic,283
Drew,284
Elizabethtown,285
Moravian,286
Scranton,287
Susquehanna,288
RIT,289
Union,290
RPI,291
"St. Lawrence",292
Clarkson,293
Skidmore,294
Vassar,295
Ithaca,297
"Western Connecticut",298
UMass-Boston,299
"Eastern Connecticut",300
"Southern Maine",301
"Salem State",302
"Plymouth State",303
"Keene State",305
Castleton,306
Arcadia,307
Widener,308
Hood,309
Albright,310
Alvernia,311
"Lebanon Valley",312
Lycoming,313
Stevenson,314
Messiah,315
King's,316
DeSales,317
Stevens,318
"Delaware Valley",319
Misericordia,320
Wilkes,321
Eastern,322
"Fairleigh Dickinson",323
Manhattanville,324
Trine,325
Adrian,326
Hope,327
Calvin,328
Albion,329
Kalamazoo,330
Alma,331
MSOE,332
"Concordia WI",333
Benedictine,335
"Cornell (IA)",337
Marian,338
Aurora,339
"Illinois Tech",340
Beloit,341
Kenyon,345
Denison,346
Hiram,347
Oberlin,348
Wittenberg,349
"Ohio Wesleyan",350
Wooster,351
Wabash,352
Allegheny,353
DePauw,354
Hilbert,355
Keuka,356
"SUNY Poly",357
Cobleskill,361
Morrisville,362
"New England College",363
Dean,364
Mitchell,366
Tufts,367
Williams,368
Middlebury,369
Amherst,370
Trinity,371
Wesleyan,372
Hamilton,373
Bowdoin,374
Colby,375
"Connecticut College",376
Bates,377
MIT,378
Wheaton,379
Babson,380
Emerson,381
"Coast Guard",382
"Mass Maritime",383
Springfield,384
Clark,385
"Maine Maritime",386
"SUNY Delhi",387
"SUNY Canton",388
Thomas,390
MCLA,391
Husson,392
"Ohio Northern",393
"Mount Union",394
Wilmington,395
"John Carroll",396
Otterbein,397
Marietta,398
Capital,399
"Baldwin Wallace",400
Muskingum,401
Heidelberg,402
Randolph-Macon,403
Guilford,404
"Virginia Wesleyan",405
Hampden-Sydney,406
Shenandoah,407
Roanoke,409
"Washington and Lee",410
Bridgewater,411
Lynchburg,412
Randolph,413
"Saint Vincent",414
Thiel,415
Chatham,416
"Grove City",417
"Westminster (PA)",418
Franciscan,419
"Washington and Jefferson",420
Bethany,421
Rhodes,422
Oglethorpe,423
Hendrix,425
Centre,426
Berry,427
Sewanee,428
"Colorado College",429
Southwestern,430
"Centenary (LA)",433
Farmingdale,434
"Mount St. Vincent",435
"SUNY Maritime",436
Purchase,437
"St. Joseph's (L.I.)",438
"Mount St. Mary",439
"US Merchant Marine",440
Geneseo,441
Potsdam,442
Cortland,443
Oswego,444
Brockport,445
Plattsburgh,446
Oneonta,447
Piedmont,448
Greensboro,449
Huntingdon,450
Methodist,451
Pfeiffer,452
"William Peace",453
Brevard,454
Averett,455
Cairn,945
Edgewood,947
Juniata,948
"Lake Forest",949
"Penn College",950
Spalding,951
"Warren Wilson",952
Lawrence,1128
Elmira,264
Pitt-Bradford,1133
"Alfred State",1143
